	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
7649	8dly	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	08/31/22					Zhu, X., Mannar, D., Saville, J.W., Srivastava, S.S., Berezuk, A.M., Zhou, S., Tuttle, K.S., Subramaniam, S.	8dly_0
7650	7orb	2.5	X-RAY DIFFRACTION	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	06/04/21					Zhou, D., Ren, J., Stuart, D.I.	7orb_0
7651	7orb	2.5	X-RAY DIFFRACTION	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	06/04/21					Zhou, D., Ren, J., Stuart, D.I.	7orb_2
7652	7orb	2.5	X-RAY DIFFRACTION	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	06/04/21					Zhou, D., Ren, J., Stuart, D.I.	7orb_1
7653	7orb	2.5	X-RAY DIFFRACTION	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	06/04/21					Zhou, D., Ren, J., Stuart, D.I.	7orb_3
7654	7zbu	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	08/17/22					Rosa, A., Pye, V.E., Cronin, N., Cherepanov, P.	7zbu_0
7655	7uzb	0.0	ELECTRON MICROSCOPY	Mus musculus; Severe acute respiratory syndrome coronavirus 2	12/07/22					Fan, C., Bjorkman, P.J.	7uzb_0
7656	8cyb	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cyb_0
7657	8cyd	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cyd_2
7658	8cy9	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cy9_0
7659	8cya	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cya_1
7660	8cy6	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cy6_0
7661	8cxn	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cxn_0
7662	8cxq	0.0	ELECTRON MICROSCOPY	Lama glama; Severe acute respiratory syndrome coronavirus 2	07/06/22					Huang, W., Taylor, D.	8cxq_0
7663	5mhr	3.0	X-RAY DIFFRACTION	REOVIRUS SP.; MUS MUSCULUS	11/25/16					Stehle, T., Dietrich, M.H.	5mhr_3
7664	5ip4	1.81	X-RAY DIFFRACTION	LAMA GLAMA; HOMO SAPIENS	03/09/16					Ruf, A., Benz, J., Burger, D., D'Arcy, B., Debulpaep, M., Di Lello, P., Fry, D., Huber, W., Kremer, T., Laeremans, T., Matile, H., Ross, A., Rudolph, M.G., Rufer, A.C., Sharma, A., Steinmetz, M.O., Steyaert, J., Schoch, G., Stihle, M., Thoma, R.	5ip4_1
7665	1ezv	2.3	X-RAY DIFFRACTION	SACCHAROMYCES CEREVISIAE; MUS MUSCULUS	05/12/00					Hunte, C., Koepke, J., Lange, C., Rossmanith, T., Michel, H.	1ezv_0
7666	1kyo	2.97	X-RAY DIFFRACTION	MUS MUSCULUS; SACCHAROMYCES CEREVISIAE	02/05/02					Lange, C., Hunte, C.	1kyo_0
7667	4pd4	3.04	X-RAY DIFFRACTION	MUS MUSCULUS; SACCHAROMYCES CEREVISIAE	04/17/14					Birth, D., Kao, W.-C., Hunte, C.	4pd4_0
7668	2ibz	2.3	X-RAY DIFFRACTION	MUS MUSCULUS; SACCHAROMYCES CEREVISIAE	09/12/06					Hunte, C.	2ibz_0
7669	3cx5	1.9	X-RAY DIFFRACTION	MUS MUSCULUS; SACCHAROMYCES CEREVISIAE	04/23/08					Solmaz, S.R.N., Hunte, C.	3cx5_1
7670	1p84	2.5	X-RAY DIFFRACTION	MUS MUSCULUS; SACCHAROMYCES CEREVISIAE	05/06/03					Palsdottir, H., Lojero, C.G., Trumpower, B.L., Hunte, C.	1p84_0
7671	1kb9	2.3	X-RAY DIFFRACTION	SACCHAROMYCES CEREVISIAE; MUS MUSCULUS	11/05/01					Lange, C., Nett, J.H., Trumpower, B.L., Hunte, C.	1kb9_0
7672	3cxh	2.5	X-RAY DIFFRACTION	MUS MUSCULUS; SACCHAROMYCES CEREVISIAE	04/24/08					Solmaz, S.R.N., Hunte, C.	3cxh_1
7673	2vh5	2.7	X-RAY DIFFRACTION	HOMO SAPIENS	11/19/07					Tanaka, T., Williams, R.L., Rabbitts, T.H.	2vh5_0
7674	2uzi	2.0	X-RAY DIFFRACTION	HOMO SAPIENS	04/27/07	6.2e-09	-11.19	SPR	25.0	Tanaka, T., williams, R.L., Rabbitts, T.H.	2uzi_0
7675	5van	2.202	X-RAY DIFFRACTION	HOMO SAPIENS; LAMA GLAMA	03/27/17					Lee, S., Schlessinger, J.	5van_0
